KO	Pathway	Pathway Name
K09475	ko02020	Two-component system
K09476	ko02020	Two-component system
K07640	ko02020	Two-component system
K07662	ko02020	Two-component system
K25864	ko02020	Two-component system
K07639	ko02020	Two-component system
K07661	ko02020	Two-component system
K07650	ko02020	Two-component system
K07770	ko02020	Two-component system
K04771	ko02020	Two-component system
K07641	ko02020	Two-component system
K07663	ko02020	Two-component system
K07642	ko02020	Two-component system
K07664	ko02020	Two-component system
K07799	ko02020	Two-component system
K07788	ko02020	Two-component system
K07789	ko02020	Two-component system
K18326	ko02020	Two-component system
K18321	ko02020	Two-component system
K18322	ko02020	Two-component system
K18323	ko02020	Two-component system
K18324	ko02020	Two-component system
K07643	ko02020	Two-component system
K07771	ko02020	Two-component system
K07806	ko02020	Two-component system
K07644	ko02020	Two-component system
K07665	ko02020	Two-component system
K07796	ko02020	Two-component system
K07810	ko02020	Two-component system
K07798	ko02020	Two-component system
K07787	ko02020	Two-component system
K07645	ko02020	Two-component system
K07666	ko02020	Two-component system
K02403	ko02020	Two-component system
K02402	ko02020	Two-component system
K02406	ko02020	Two-component system
K02405	ko02020	Two-component system
K02556	ko02020	Two-component system
K07646	ko02020	Two-component system
K07667	ko02020	Two-component system
K01546	ko02020	Two-component system
K01547	ko02020	Two-component system
K01548	ko02020	Two-component system
K01545	ko02020	Two-component system
K07647	ko02020	Two-component system
K07772	ko02020	Two-component system
K03532	ko02020	Two-component system
K07811	ko02020	Two-component system
K03533	ko02020	Two-component system
K07648	ko02020	Two-component system
K07773	ko02020	Two-component system
K07649	ko02020	Two-component system
K07774	ko02020	Two-component system
K07793	ko02020	Two-component system
K07794	ko02020	Two-component system
K07795	ko02020	Two-component system
K07651	ko02020	Two-component system
K07775	ko02020	Two-component system
K02259	ko02020	Two-component system
K07652	ko02020	Two-component system
K07668	ko02020	Two-component system
K00689	ko02020	Two-component system
K00692	ko02020	Two-component system
K07653	ko02020	Two-component system
K07669	ko02020	Two-component system
K08372	ko02020	Two-component system
K07654	ko02020	Two-component system
K07670	ko02020	Two-component system
K02313	ko02020	Two-component system
K07655	ko02020	Two-component system
K07671	ko02020	Two-component system
K07656	ko02020	Two-component system
K07672	ko02020	Two-component system
K11328	ko02020	Two-component system
K11330	ko02020	Two-component system
K11327	ko02020	Two-component system
K11326	ko02020	Two-component system
K11331	ko02020	Two-component system
K07785	ko02020	Two-component system
K11520	ko02020	Two-component system
K11521	ko02020	Two-component system
K11601	ko02020	Two-component system
K11603	ko02020	Two-component system
K11602	ko02020	Two-component system
K07769	ko02020	Two-component system
K11332	ko02020	Two-component system
K08479	ko02020	Two-component system
K10697	ko02020	Two-component system
K11329	ko02020	Two-component system
K10681	ko02020	Two-component system
K10682	ko02020	Two-component system
K11629	ko02020	Two-component system
K11630	ko02020	Two-component system
K11631	ko02020	Two-component system
K11632	ko02020	Two-component system
K19084	ko02020	Two-component system
K19083	ko02020	Two-component system
K19081	ko02020	Two-component system
K19082	ko02020	Two-component system
K19080	ko02020	Two-component system
K19079	ko02020	Two-component system
K19077	ko02020	Two-component system
K19078	ko02020	Two-component system
K03367	ko02020	Two-component system
K03739	ko02020	Two-component system
K14188	ko02020	Two-component system
K03740	ko02020	Two-component system
K14205	ko02020	Two-component system
K11633	ko02020	Two-component system
K11634	ko02020	Two-component system
K11635	ko02020	Two-component system
K11636	ko02020	Two-component system
K14980	ko02020	Two-component system
K14981	ko02020	Two-component system
K14982	ko02020	Two-component system
K14983	ko02020	Two-component system
K15860	ko02020	Two-component system
K18072	ko02020	Two-component system
K18073	ko02020	Two-component system
K18093	ko02020	Two-component system
K18094	ko02020	Two-component system
K18095	ko02020	Two-component system
K18345	ko02020	Two-component system
K18350	ko02020	Two-component system
K18351	ko02020	Two-component system
K18344	ko02020	Two-component system
K18349	ko02020	Two-component system
K18352	ko02020	Two-component system
K15739	ko02020	Two-component system
K18347	ko02020	Two-component system
K08641	ko02020	Two-component system
K07260	ko02020	Two-component system
K18346	ko02020	Two-component system
K18354	ko02020	Two-component system
K18353	ko02020	Two-component system
K18856	ko02020	Two-component system
K18866	ko02020	Two-component system
K18348	ko02020	Two-component system
K18940	ko02020	Two-component system
K18941	ko02020	Two-component system
K18986	ko02020	Two-component system
K18987	ko02020	Two-component system
K19609	ko02020	Two-component system
K19610	ko02020	Two-component system
K19611	ko02020	Two-component system
K20487	ko02020	Two-component system
K20488	ko02020	Two-component system
K20482	ko02020	Two-component system
K20483	ko02020	Two-component system
K20484	ko02020	Two-component system
K20485	ko02020	Two-component system
K20486	ko02020	Two-component system
K20489	ko02020	Two-component system
K20490	ko02020	Two-component system
K20491	ko02020	Two-component system
K20492	ko02020	Two-component system
K20494	ko02020	Two-component system
K02491	ko02020	Two-component system
K07697	ko02020	Two-component system
K06347	ko02020	Two-component system
K07698	ko02020	Two-component system
K13532	ko02020	Two-component system
K13533	ko02020	Two-component system
K02490	ko02020	Two-component system
K06375	ko02020	Two-component system
K07699	ko02020	Two-component system
K07700	ko02020	Two-component system
K07702	ko02020	Two-component system
K01910	ko02020	Two-component system
K01646	ko02020	Two-component system
K01644	ko02020	Two-component system
K01643	ko02020	Two-component system
K05964	ko02020	Two-component system
K05966	ko02020	Two-component system
K13927	ko02020	Two-component system
K09477	ko02020	Two-component system
K07780	ko02020	Two-component system
K11637	ko02020	Two-component system
K11638	ko02020	Two-component system
K11639	ko02020	Two-component system
K07701	ko02020	Two-component system
K07703	ko02020	Two-component system
K07792	ko02020	Two-component system
K11691	ko02020	Two-component system
K11692	ko02020	Two-component system
K11614	ko02020	Two-component system
K11615	ko02020	Two-component system
K00027	ko02020	Two-component system
K11616	ko02020	Two-component system
K07704	ko02020	Two-component system
K07705	ko02020	Two-component system
K05338	ko02020	Two-component system
K05339	ko02020	Two-component system
K08082	ko02020	Two-component system
K08083	ko02020	Two-component system
K00066	ko02020	Two-component system
K11640	ko02020	Two-component system
K11641	ko02020	Two-component system
K09697	ko02020	Two-component system
K09696	ko02020	Two-component system
K07813	ko02020	Two-component system
K07800	ko02020	Two-component system
K07706	ko02020	Two-component system
K07707	ko02020	Two-component system
K20339	ko02020	Two-component system
K20340	ko02020	Two-component system
K12292	ko02020	Two-component system
K12293	ko02020	Two-component system
K12415	ko02020	Two-component system
K12294	ko02020	Two-component system
K12295	ko02020	Two-component system
K12296	ko02020	Two-component system
K07673	ko02020	Two-component system
K07684	ko02020	Two-component system
K07674	ko02020	Two-component system
K07685	ko02020	Two-component system
K00370	ko02020	Two-component system
K00371	ko02020	Two-component system
K00374	ko02020	Two-component system
K00373	ko02020	Two-component system
K08348	ko02020	Two-component system
K08349	ko02020	Two-component system
K08350	ko02020	Two-component system
K00244	ko02020	Two-component system
K00245	ko02020	Two-component system
K00246	ko02020	Two-component system
K00247	ko02020	Two-component system
K07783	ko02020	Two-component system
K07675	ko02020	Two-component system
K07686	ko02020	Two-component system
K07784	ko02020	Two-component system
K20263	ko02020	Two-component system
K20264	ko02020	Two-component system
K20552	ko02020	Two-component system
K06080	ko02020	Two-component system
K07677	ko02020	Two-component system
K07676	ko02020	Two-component system
K07781	ko02020	Two-component system
K07687	ko02020	Two-component system
K07678	ko02020	Two-component system
K07689	ko02020	Two-component system
K07782	ko02020	Two-component system
K03563	ko02020	Two-component system
K02253	ko02020	Two-component system
K07680	ko02020	Two-component system
K07691	ko02020	Two-component system
K02252	ko02020	Two-component system
K07679	ko02020	Two-component system
K07690	ko02020	Two-component system
K07797	ko02020	Two-component system
K07786	ko02020	Two-component system
K23236	ko02020	Two-component system
K07688	ko02020	Two-component system
K01467	ko02020	Two-component system
K07777	ko02020	Two-component system
K07692	ko02020	Two-component system
K07778	ko02020	Two-component system
K07693	ko02020	Two-component system
K10255	ko02020	Two-component system
K07681	ko02020	Two-component system
K07694	ko02020	Two-component system
K11617	ko02020	Two-component system
K11618	ko02020	Two-component system
K11619	ko02020	Two-component system
K11620	ko02020	Two-component system
K11621	ko02020	Two-component system
K11622	ko02020	Two-component system
K07682	ko02020	Two-component system
K27105	ko02020	Two-component system
K07695	ko02020	Two-component system
K07683	ko02020	Two-component system
K07696	ko02020	Two-component system
K10851	ko02020	Two-component system
K10850	ko02020	Two-component system
K11623	ko02020	Two-component system
K11624	ko02020	Two-component system
K11625	ko02020	Two-component system
K14988	ko02020	Two-component system
K14989	ko02020	Two-component system
K27076	ko02020	Two-component system
K27077	ko02020	Two-component system
K27078	ko02020	Two-component system
K07346	ko02020	Two-component system
K07347	ko02020	Two-component system
K02651	ko02020	Two-component system
K02279	ko02020	Two-component system
K02280	ko02020	Two-component system
K02282	ko02020	Two-component system
K02283	ko02020	Two-component system
K12510	ko02020	Two-component system
K12511	ko02020	Two-component system
K27079	ko02020	Two-component system
K27080	ko02020	Two-component system
K00990	ko02020	Two-component system
K04751	ko02020	Two-component system
K07708	ko02020	Two-component system
K07712	ko02020	Two-component system
K01915	ko02020	Two-component system
K13598	ko02020	Two-component system
K13599	ko02020	Two-component system
K02584	ko02020	Two-component system
K07709	ko02020	Two-component system
K07713	ko02020	Two-component system
K07803	ko02020	Two-component system
K07710	ko02020	Two-component system
K07714	ko02020	Two-component system
K01034	ko02020	Two-component system
K01035	ko02020	Two-component system
K02106	ko02020	Two-component system
K00626	ko02020	Two-component system
K08478	ko02020	Two-component system
K08475	ko02020	Two-component system
K08476	ko02020	Two-component system
K11382	ko02020	Two-component system
K10125	ko02020	Two-component system
K10126	ko02020	Two-component system
K11103	ko02020	Two-component system
K02668	ko02020	Two-component system
K02667	ko02020	Two-component system
K03092	ko02020	Two-component system
K02650	ko02020	Two-component system
K11383	ko02020	Two-component system
K11384	ko02020	Two-component system
K07711	ko02020	Two-component system
K07715	ko02020	Two-component system
K15841	ko02020	Two-component system
K23548	ko02020	Two-component system
K23549	ko02020	Two-component system
K19661	ko02020	Two-component system
K19641	ko02020	Two-component system
K06282	ko02020	Two-component system
K06281	ko02020	Two-component system
K03620	ko02020	Two-component system
K00575	ko02020	Two-component system
K13924	ko02020	Two-component system
K03406	ko02020	Two-component system
K05874	ko02020	Two-component system
K05875	ko02020	Two-component system
K05876	ko02020	Two-component system
K05877	ko02020	Two-component system
K03776	ko02020	Two-component system
K03408	ko02020	Two-component system
K03407	ko02020	Two-component system
K03413	ko02020	Two-component system
K03412	ko02020	Two-component system
K03415	ko02020	Two-component system
K02661	ko02020	Two-component system
K02660	ko02020	Two-component system
K02659	ko02020	Two-component system
K06596	ko02020	Two-component system
K02657	ko02020	Two-component system
K02658	ko02020	Two-component system
K11525	ko02020	Two-component system
K11524	ko02020	Two-component system
K11526	ko02020	Two-component system
K11522	ko02020	Two-component system
K11523	ko02020	Two-component system
K06597	ko02020	Two-component system
K06598	ko02020	Two-component system
K13486	ko02020	Two-component system
K13487	ko02020	Two-component system
K13488	ko02020	Two-component system
K13489	ko02020	Two-component system
K13490	ko02020	Two-component system
K13491	ko02020	Two-component system
K11444	ko02020	Two-component system
K11354	ko02020	Two-component system
K11355	ko02020	Two-component system
K07716	ko02020	Two-component system
K02488	ko02020	Two-component system
K11357	ko02020	Two-component system
K11443	ko02020	Two-component system
K13587	ko02020	Two-component system
K13588	ko02020	Two-component system
K13584	ko02020	Two-component system
K13589	ko02020	Two-component system
K02489	ko02020	Two-component system
K18444	ko02020	Two-component system
K10910	ko02020	Two-component system
K10909	ko02020	Two-component system
K10916	ko02020	Two-component system
K15850	ko02020	Two-component system
K10911	ko02020	Two-component system
K10912	ko02020	Two-component system
K15851	ko02020	Two-component system
K10913	ko02020	Two-component system
K03400	ko02020	Two-component system
K15853	ko02020	Two-component system
K00494	ko02020	Two-component system
K15854	ko02020	Two-component system
K06046	ko02020	Two-component system
K11711	ko02020	Two-component system
K11712	ko02020	Two-component system
K11688	ko02020	Two-component system
K11689	ko02020	Two-component system
K11690	ko02020	Two-component system
K13040	ko02020	Two-component system
K13041	ko02020	Two-component system
K08357	ko02020	Two-component system
K08358	ko02020	Two-component system
K08359	ko02020	Two-component system
K14986	ko02020	Two-component system
K14987	ko02020	Two-component system
K15861	ko02020	Two-component system
K14978	ko02020	Two-component system
K14979	ko02020	Two-component system
K10941	ko02020	Two-component system
K10942	ko02020	Two-component system
K10943	ko02020	Two-component system
K17060	ko02020	Two-component system
K17061	ko02020	Two-component system
K10004	ko02020	Two-component system
K10002	ko02020	Two-component system
K10003	ko02020	Two-component system
K10001	ko02020	Two-component system
K05597	ko02020	Two-component system
K11231	ko02020	Two-component system
K19690	ko02020	Two-component system
K19691	ko02020	Two-component system
K19692	ko02020	Two-component system
K11232	ko02020	Two-component system
K11233	ko02020	Two-component system
K11230	ko02020	Two-component system
K15859	ko02020	Two-component system
K10715	ko02020	Two-component system
K13815	ko02020	Two-component system
K10914	ko02020	Two-component system
K13816	ko02020	Two-component system
K07717	ko02020	Two-component system
K07719	ko02020	Two-component system
K01425	ko02020	Two-component system
K11626	ko02020	Two-component system
K25211	ko02020	Two-component system
K25212	ko02020	Two-component system
K25213	ko02020	Two-component system
K07718	ko02020	Two-component system
K07720	ko02020	Two-component system
K11356	ko02020	Two-component system
K15011	ko02020	Two-component system
K15012	ko02020	Two-component system
K08930	ko02020	Two-component system
K08939	ko02020	Two-component system
K13994	ko02020	Two-component system
K08929	ko02020	Two-component system
K08928	ko02020	Two-component system
K08926	ko02020	Two-component system
K08927	ko02020	Two-component system
K13991	ko02020	Two-component system
K00411	ko02020	Two-component system
K00412	ko02020	Two-component system
K00413	ko02020	Two-component system
K00410	ko02020	Two-component system
K08738	ko02020	Two-component system
K00404	ko02020	Two-component system
K00405	ko02020	Two-component system
K15862	ko02020	Two-component system
K00407	ko02020	Two-component system
K00406	ko02020	Two-component system
K00425	ko02020	Two-component system
K00426	ko02020	Two-component system
K00424	ko02020	Two-component system
K22501	ko02020	Two-component system
K19616	ko02020	Two-component system
K19617	ko02020	Two-component system
K19618	ko02020	Two-component system
K12530	ko02020	Two-component system
K12532	ko02020	Two-component system
K12531	ko02020	Two-component system
K12340	ko02020	Two-component system
K19615	ko02020	Two-component system
K19620	ko02020	Two-component system
K19621	ko02020	Two-component system
K19622	ko02020	Two-component system
K19624	ko02020	Two-component system
K19667	ko02020	Two-component system
K01991	ko02020	Two-component system
K25307	ko02020	Two-component system
K16692	ko02020	Two-component system
K01791	ko02020	Two-component system
K02472	ko02020	Two-component system
K16712	ko02020	Two-component system
K16713	ko02020	Two-component system
K01051	ko02020	Two-component system
K01179	ko02020	Two-component system
K19668	ko02020	Two-component system
K13061	ko02020	Two-component system
K19666	ko02020	Two-component system
K23514	ko02020	Two-component system
K07165	ko02020	Two-component system
K20973	ko02020	Two-component system
K20974	ko02020	Two-component system
K20975	ko02020	Two-component system
K20976	ko02020	Two-component system
K20977	ko02020	Two-component system
K20978	ko02020	Two-component system
K02398	ko02020	Two-component system
K04344	ko04010	MAPK signaling pathway
K04849	ko04010	MAPK signaling pathway
K04850	ko04010	MAPK signaling pathway
K04851	ko04010	MAPK signaling pathway
K04852	ko04010	MAPK signaling pathway
K04853	ko04010	MAPK signaling pathway
K04854	ko04010	MAPK signaling pathway
K04855	ko04010	MAPK signaling pathway
K04856	ko04010	MAPK signaling pathway
K04857	ko04010	MAPK signaling pathway
K04858	ko04010	MAPK signaling pathway
K04859	ko04010	MAPK signaling pathway
K04860	ko04010	MAPK signaling pathway
K04861	ko04010	MAPK signaling pathway
K04862	ko04010	MAPK signaling pathway
K04863	ko04010	MAPK signaling pathway
K04864	ko04010	MAPK signaling pathway
K04865	ko04010	MAPK signaling pathway
K04866	ko04010	MAPK signaling pathway
K04867	ko04010	MAPK signaling pathway
K04868	ko04010	MAPK signaling pathway
K04869	ko04010	MAPK signaling pathway
K04870	ko04010	MAPK signaling pathway
K04871	ko04010	MAPK signaling pathway
K04872	ko04010	MAPK signaling pathway
K04873	ko04010	MAPK signaling pathway
K04345	ko04010	MAPK signaling pathway
K02677	ko04010	MAPK signaling pathway
K19662	ko04010	MAPK signaling pathway
K19663	ko04010	MAPK signaling pathway
K04346	ko04010	MAPK signaling pathway
K04347	ko04010	MAPK signaling pathway
K04348	ko04010	MAPK signaling pathway
K06268	ko04010	MAPK signaling pathway
K04349	ko04010	MAPK signaling pathway
K12326	ko04010	MAPK signaling pathway
K04350	ko04010	MAPK signaling pathway
K12361	ko04010	MAPK signaling pathway
K12362	ko04010	MAPK signaling pathway
K12363	ko04010	MAPK signaling pathway
K08018	ko04010	MAPK signaling pathway
K08052	ko04010	MAPK signaling pathway
K04352	ko04010	MAPK signaling pathway
K08053	ko04010	MAPK signaling pathway
K04353	ko04010	MAPK signaling pathway
K07836	ko04010	MAPK signaling pathway
K04357	ko04010	MAPK signaling pathway
K08774	ko04010	MAPK signaling pathway
K09784	ko04010	MAPK signaling pathway
K09782	ko04010	MAPK signaling pathway
K18496	ko04010	MAPK signaling pathway
K18497	ko04010	MAPK signaling pathway
K04358	ko04010	MAPK signaling pathway
K22603	ko04010	MAPK signaling pathway
K22429	ko04010	MAPK signaling pathway
K22428	ko04010	MAPK signaling pathway
K05451	ko04010	MAPK signaling pathway
K02582	ko04010	MAPK signaling pathway
K04355	ko04010	MAPK signaling pathway
K04356	ko04010	MAPK signaling pathway
K12457	ko04010	MAPK signaling pathway
K04526	ko04010	MAPK signaling pathway
K05459	ko04010	MAPK signaling pathway
K13769	ko04010	MAPK signaling pathway
K04359	ko04010	MAPK signaling pathway
K17386	ko04010	MAPK signaling pathway
K05450	ko04010	MAPK signaling pathway
K05453	ko04010	MAPK signaling pathway
K05461	ko04010	MAPK signaling pathway
K05454	ko04010	MAPK signaling pathway
K05448	ko04010	MAPK signaling pathway
K16858	ko04010	MAPK signaling pathway
K16859	ko04010	MAPK signaling pathway
K05449	ko04010	MAPK signaling pathway
K05460	ko04010	MAPK signaling pathway
K05465	ko04010	MAPK signaling pathway
K05466	ko04010	MAPK signaling pathway
K05467	ko04010	MAPK signaling pathway
K05462	ko04010	MAPK signaling pathway
K05452	ko04010	MAPK signaling pathway
K25414	ko04010	MAPK signaling pathway
K25415	ko04010	MAPK signaling pathway
K25416	ko04010	MAPK signaling pathway
K04361	ko04010	MAPK signaling pathway
K05083	ko04010	MAPK signaling pathway
K05084	ko04010	MAPK signaling pathway
K05085	ko04010	MAPK signaling pathway
K04362	ko04010	MAPK signaling pathway
K05093	ko04010	MAPK signaling pathway
K05094	ko04010	MAPK signaling pathway
K05095	ko04010	MAPK signaling pathway
K02583	ko04010	MAPK signaling pathway
K03176	ko04010	MAPK signaling pathway
K04360	ko04010	MAPK signaling pathway
K04527	ko04010	MAPK signaling pathway
K05087	ko04010	MAPK signaling pathway
K04363	ko04010	MAPK signaling pathway
K05089	ko04010	MAPK signaling pathway
K05090	ko04010	MAPK signaling pathway
K05091	ko04010	MAPK signaling pathway
K05092	ko04010	MAPK signaling pathway
K05096	ko04010	MAPK signaling pathway
K05097	ko04010	MAPK signaling pathway
K05098	ko04010	MAPK signaling pathway
K05099	ko04010	MAPK signaling pathway
K05121	ko04010	MAPK signaling pathway
K05103	ko04010	MAPK signaling pathway
K05126	ko04010	MAPK signaling pathway
K04364	ko04010	MAPK signaling pathway
K03099	ko04010	MAPK signaling pathway
K02833	ko04010	MAPK signaling pathway
K07827	ko04010	MAPK signaling pathway
K07828	ko04010	MAPK signaling pathway
K07829	ko04010	MAPK signaling pathway
K07830	ko04010	MAPK signaling pathway
K07831	ko04010	MAPK signaling pathway
K08845	ko04010	MAPK signaling pathway
K04365	ko04010	MAPK signaling pathway
K04366	ko04010	MAPK signaling pathway
K04368	ko04010	MAPK signaling pathway
K04369	ko04010	MAPK signaling pathway
K04370	ko04010	MAPK signaling pathway
K04371	ko04010	MAPK signaling pathway
K04372	ko04010	MAPK signaling pathway
K04373	ko04010	MAPK signaling pathway
K04374	ko04010	MAPK signaling pathway
K04375	ko04010	MAPK signaling pathway
K04376	ko04010	MAPK signaling pathway
K04377	ko04010	MAPK signaling pathway
K04378	ko04010	MAPK signaling pathway
K04379	ko04010	MAPK signaling pathway
K04380	ko04010	MAPK signaling pathway
K04381	ko04010	MAPK signaling pathway
K16342	ko04010	MAPK signaling pathway
K03156	ko04010	MAPK signaling pathway
K04383	ko04010	MAPK signaling pathway
K04519	ko04010	MAPK signaling pathway
K13375	ko04010	MAPK signaling pathway
K13376	ko04010	MAPK signaling pathway
K13377	ko04010	MAPK signaling pathway
K03158	ko04010	MAPK signaling pathway
K04386	ko04010	MAPK signaling pathway
K04723	ko04010	MAPK signaling pathway
K04674	ko04010	MAPK signaling pathway
K04388	ko04010	MAPK signaling pathway
K04389	ko04010	MAPK signaling pathway
K04390	ko04010	MAPK signaling pathway
K04391	ko04010	MAPK signaling pathway
K04392	ko04010	MAPK signaling pathway
K07860	ko04010	MAPK signaling pathway
K07861	ko04010	MAPK signaling pathway
K04393	ko04010	MAPK signaling pathway
K03171	ko04010	MAPK signaling pathway
K02187	ko04010	MAPK signaling pathway
K03173	ko04010	MAPK signaling pathway
K02308	ko04010	MAPK signaling pathway
K04729	ko04010	MAPK signaling pathway
K04730	ko04010	MAPK signaling pathway
K04733	ko04010	MAPK signaling pathway
K03175	ko04010	MAPK signaling pathway
K04402	ko04010	MAPK signaling pathway
K04403	ko04010	MAPK signaling pathway
K04404	ko04010	MAPK signaling pathway
K04405	ko04010	MAPK signaling pathway
K04406	ko04010	MAPK signaling pathway
K04407	ko04010	MAPK signaling pathway
K04408	ko04010	MAPK signaling pathway
K04409	ko04010	MAPK signaling pathway
K04410	ko04010	MAPK signaling pathway
K04411	ko04010	MAPK signaling pathway
K04412	ko04010	MAPK signaling pathway
K04414	ko04010	MAPK signaling pathway
K04415	ko04010	MAPK signaling pathway
K04416	ko04010	MAPK signaling pathway
K04419	ko04010	MAPK signaling pathway
K04420	ko04010	MAPK signaling pathway
K04421	ko04010	MAPK signaling pathway
K04417	ko04010	MAPK signaling pathway
K04418	ko04010	MAPK signaling pathway
K17534	ko04010	MAPK signaling pathway
K04423	ko04010	MAPK signaling pathway
K04422	ko04010	MAPK signaling pathway
K04424	ko04010	MAPK signaling pathway
K04425	ko04010	MAPK signaling pathway
K04426	ko04010	MAPK signaling pathway
K04427	ko04010	MAPK signaling pathway
K04428	ko04010	MAPK signaling pathway
K04429	ko04010	MAPK signaling pathway
K04430	ko04010	MAPK signaling pathway
K04431	ko04010	MAPK signaling pathway
K04432	ko04010	MAPK signaling pathway
K04433	ko04010	MAPK signaling pathway
K04434	ko04010	MAPK signaling pathway
K04435	ko04010	MAPK signaling pathway
K04436	ko04010	MAPK signaling pathway
K04437	ko04010	MAPK signaling pathway
K04438	ko04010	MAPK signaling pathway
K04439	ko04010	MAPK signaling pathway
K04440	ko04010	MAPK signaling pathway
K04441	ko04010	MAPK signaling pathway
K04442	ko04010	MAPK signaling pathway
K04443	ko04010	MAPK signaling pathway
K04444	ko04010	MAPK signaling pathway
K04445	ko04010	MAPK signaling pathway
K16510	ko04010	MAPK signaling pathway
K05866	ko04010	MAPK signaling pathway
K04446	ko04010	MAPK signaling pathway
K17333	ko04010	MAPK signaling pathway
K04448	ko04010	MAPK signaling pathway
K04449	ko04010	MAPK signaling pathway
K04450	ko04010	MAPK signaling pathway
K04451	ko04010	MAPK signaling pathway
K04452	ko04010	MAPK signaling pathway
K04453	ko04010	MAPK signaling pathway
K04454	ko04010	MAPK signaling pathway
K04455	ko04010	MAPK signaling pathway
K04456	ko04010	MAPK signaling pathway
K04457	ko04010	MAPK signaling pathway
K04458	ko04010	MAPK signaling pathway
K18018	ko04010	MAPK signaling pathway
K18019	ko04010	MAPK signaling pathway
K21278	ko04010	MAPK signaling pathway
K04459	ko04010	MAPK signaling pathway
K21946	ko04010	MAPK signaling pathway
K18498	ko04010	MAPK signaling pathway
K20216	ko04010	MAPK signaling pathway
K17614	ko04010	MAPK signaling pathway
K04460	ko04010	MAPK signaling pathway
K04461	ko04010	MAPK signaling pathway
K03283	ko04010	MAPK signaling pathway
K04462	ko04010	MAPK signaling pathway
K04463	ko04010	MAPK signaling pathway
K04464	ko04010	MAPK signaling pathway
K04465	ko04010	MAPK signaling pathway
K04466	ko04010	MAPK signaling pathway
K04467	ko04010	MAPK signaling pathway
K07209	ko04010	MAPK signaling pathway
K07210	ko04010	MAPK signaling pathway
K04468	ko04010	MAPK signaling pathway
K02580	ko04010	MAPK signaling pathway
K04469	ko04010	MAPK signaling pathway
K04735	ko04010	MAPK signaling pathway
K09253	ko04010	MAPK signaling pathway
K12377	ko04013	MAPK signaling pathway - fly
K20226	ko04013	MAPK signaling pathway - fly
K20227	ko04013	MAPK signaling pathway - fly
K20228	ko04013	MAPK signaling pathway - fly
K12378	ko04013	MAPK signaling pathway - fly
K02104	ko04013	MAPK signaling pathway - fly
K16690	ko04013	MAPK signaling pathway - fly
K20229	ko04013	MAPK signaling pathway - fly
K02447	ko04013	MAPK signaling pathway - fly
K16691	ko04013	MAPK signaling pathway - fly
K04361	ko04013	MAPK signaling pathway - fly
K20230	ko04013	MAPK signaling pathway - fly
K04623	ko04013	MAPK signaling pathway - fly
K05088	ko04013	MAPK signaling pathway - fly
K06279	ko04013	MAPK signaling pathway - fly
K04364	ko04013	MAPK signaling pathway - fly
K20231	ko04013	MAPK signaling pathway - fly
K07293	ko04013	MAPK signaling pathway - fly
K03099	ko04013	MAPK signaling pathway - fly
K17383	ko04013	MAPK signaling pathway - fly
K07827	ko04013	MAPK signaling pathway - fly
K04352	ko04013	MAPK signaling pathway - fly
K12380	ko04013	MAPK signaling pathway - fly
K04365	ko04013	MAPK signaling pathway - fly
K16197	ko04013	MAPK signaling pathway - fly
K04382	ko04013	MAPK signaling pathway - fly
K17536	ko04013	MAPK signaling pathway - fly
K18529	ko04013	MAPK signaling pathway - fly
K04368	ko04013	MAPK signaling pathway - fly
K04371	ko04013	MAPK signaling pathway - fly
K20220	ko04013	MAPK signaling pathway - fly
K20223	ko04013	MAPK signaling pathway - fly
K20225	ko04013	MAPK signaling pathway - fly
K08545	ko04013	MAPK signaling pathway - fly
K04497	ko04013	MAPK signaling pathway - fly
K12379	ko04013	MAPK signaling pathway - fly
K02678	ko04013	MAPK signaling pathway - fly
K03211	ko04013	MAPK signaling pathway - fly
K20232	ko04013	MAPK signaling pathway - fly
K14290	ko04013	MAPK signaling pathway - fly
K09237	ko04013	MAPK signaling pathway - fly
K20233	ko04013	MAPK signaling pathway - fly
K04506	ko04013	MAPK signaling pathway - fly
K04508	ko04013	MAPK signaling pathway - fly
K06689	ko04013	MAPK signaling pathway - fly
K20214	ko04013	MAPK signaling pathway - fly
K20211	ko04013	MAPK signaling pathway - fly
K16678	ko04013	MAPK signaling pathway - fly
K16679	ko04013	MAPK signaling pathway - fly
K20234	ko04013	MAPK signaling pathway - fly
K08892	ko04013	MAPK signaling pathway - fly
K05704	ko04013	MAPK signaling pathway - fly
K07364	ko04013	MAPK signaling pathway - fly
K17512	ko04013	MAPK signaling pathway - fly
K08840	ko04013	MAPK signaling pathway - fly
K04392	ko04013	MAPK signaling pathway - fly
K03175	ko04013	MAPK signaling pathway - fly
K08601	ko04013	MAPK signaling pathway - fly
K04404	ko04013	MAPK signaling pathway - fly
K04417	ko04013	MAPK signaling pathway - fly
K04427	ko04013	MAPK signaling pathway - fly
K04461	ko04013	MAPK signaling pathway - fly
K04431	ko04013	MAPK signaling pathway - fly
K04430	ko04013	MAPK signaling pathway - fly
K04440	ko04013	MAPK signaling pathway - fly
K17608	ko04013	MAPK signaling pathway - fly
K04448	ko04013	MAPK signaling pathway - fly
K09031	ko04013	MAPK signaling pathway - fly
K20210	ko04013	MAPK signaling pathway - fly
K20235	ko04013	MAPK signaling pathway - fly
K04662	ko04013	MAPK signaling pathway - fly
K05759	ko04013	MAPK signaling pathway - fly
K20216	ko04013	MAPK signaling pathway - fly
